x,y,dt
0.09467598,9.271933,42.23
-2.8249032,8.883696,41.77
-2.0083961,12.093618,41.80
-3.5985475,7.6252894,41.79
-0.93218863,8.4448395,42.21
-4.1107345,12.24076,42.65
-5.030626,9.257136,42.50
-7.9133787,8.125043,41.79
-5.3771963,5.927355,41.80
-5.6540575,17.203062,41.80
-0.32251367,7.4656067,41.80
-3.5227754,8.011286,42.67
-5.9066997,9.287297,42.52
-0.8905118,10.040741,41.65
-1.1121857,6.60742,42.23
-2.5202575,8.188583,41.79
-6.845201,11.73361,41.51
-1.0728706,10.800859,42.65
-0.33347237,9.086937,42.65
-2.2740557,12.366973,41.80
-4.8955016,9.318943,43.06
-1.5531625,9.897772,41.79
0.44811636,10.264074,41.53
-5.8973336,12.083164,41.79
-5.201668,12.864913,42.04
-2.1383471,9.685449,41.75
-0.4277896,9.820055,42.62
-1.4132788,8.251474,41.80
-1.4556596,9.540861,41.79
0.36319783,13.952911,41.79
-0.24507573,7.329048,42.02
-1.0846444,13.878211,42.06
-1.2837443,10.590076,43.04
-3.0791197,8.779512,41.79
-3.8173835,6.1025944,42.18
-7.138535,12.347478,42.19
-3.202512,10.420197,41.80
0.70872927,7.201517,41.65
-5.8623457,10.34532,41.53
-6.991153,8.39152,41.63
-2.3045862,17.233429,41.51
-2.6285994,7.5348616,41.80
-0.7191289,9.102051,42.50
-3.2175016,7.4891443,41.65
-5.7050505,9.807384,41.79
-1.9188068,12.030991,42.65
-2.5472474,5.8163333,42.81
-7.931494,11.921288,42.93
-3.8495827,10.44478,41.62
-0.10884322,13.84431,41.80
-3.9682772,8.372271,42.19
-3.7572508,7.814165,41.80
-3.6224513,9.741216,41.79
-0.041008312,10.455572,41.80
0.28351182,9.414087,43.06
-4.3409863,8.379461,41.79
-5.380391,10.768354,42.93
-1.1819848,10.317823,41.79
-0.17294759,5.83646,41.80
-2.9552677,7.6914577,41.53
-1.4796048,11.533519,41.97
-1.3173708,11.296158,41.80
-2.3001206,7.901023,41.80
-10.840375,13.580734,41.63
-3.2795222,9.594697,41.82
-3.397224,8.704748,42.60
-1.4907676,6.323882,42.67
-3.2470398,10.72657,41.77
-3.5774744,15.828528,41.80
-0.20804399,8.803671,42.64
-0.525991,5.946779,41.79
-4.7846923,8.604983,43.08
-1.8469181,10.421513,42.06
0.7490461,12.269139,42.65
